name,urn,phase,borough,postcode,latitude,longitude,bng_easting,bng_northing,laei_found,NO2_2022,NOx_2022,PM10_days_2022,PM10_mean_2022,PM25_2022
Triangle Nursery School,100550,Nursery,Lambeth,SW2 1PL,51.4567,-0.109907,531416.0,174774.0,True,23.55,34.48,4.83,16.84,9.75
Effra Nursery School and Children's Centre,100551,Nursery,Lambeth,SW2 1PL,51.457233,-0.109496,531443.0,174834.0,True,23.29,33.63,4.71,16.71,9.66
Ethelred Nursery School and Children's Centre,100552,Nursery,Lambeth,SE11 6BG,51.490918,-0.111661,531196.0,178576.0,True,26.22,39.11,5.13,17.14,9.88
Maytree Nursery School,100553,Nursery,Lambeth,SW4 8EG,51.451563,-0.131075,529960.0,174165.0,True,23.23,33.92,4.79,16.79,9.66
Holmewood Nursery School,100554,Nursery,Lambeth,SW2 2RW,51.447519,-0.120014,530740.0,173735.0,True,22.73,32.37,4.21,16.18,9.44
Ashmole Primary School,100556,Primary,Lambeth,SW8 1NT,51.482014,-0.114938,530994.0,177580.0,True,25.19,37.1,5.0,17.01,9.76
Clapham Manor Primary School,100560,Primary,Lambeth,SW4 0BZ,51.464408,-0.137561,529473.0,175582.0,True,23.66,34.44,4.49,16.48,9.79
Granton Primary School,100564,Primary,Lambeth,SW16 5AN,51.414511,-0.14225,529288.0,170025.0,True,21.03,29.41,3.44,15.3,9.23
Heathbrook Primary School,100566,Primary,Lambeth,SW8 3EH,51.470118,-0.143174,529067.0,176207.0,True,23.85,34.41,4.81,16.82,9.76
Henry Cavendish Primary School,100567,Primary,Lambeth,SW12 0JA,51.444744,-0.142808,529164.0,173386.0,True,22.19,31.33,4.86,16.86,9.54
Jessop Primary School,100572,Primary,Lambeth,SE24 0BJ,51.459899,-0.101425,531996.0,175145.0,True,23.06,32.9,4.4,16.39,9.54
Kingswood Primary School,100574,Primary,Lambeth,SE27 9RD,51.426969,-0.09042,532856.0,171503.0,True,21.3,29.92,3.82,15.74,9.21
Larkhall Primary Campus,100576,Primary,Lambeth,SW4 6PH,51.470668,-0.129732,529999.0,176292.0,True,23.67,33.71,4.36,16.34,9.61
Paxton Primary School,100577,Primary,Lambeth,SE19 1PA,51.421962,-0.081193,533512.0,170963.0,True,20.82,28.92,3.85,15.78,9.16
Richard Atkins Primary School,100578,Primary,Lambeth,SW2 4JP,51.448089,-0.126957,530256.0,173786.0,True,23.23,33.84,4.65,16.65,9.56
Stockwell Primary School,100582,Primary,Lambeth,SW9 9TG,51.466606,-0.118064,530821.0,175861.0,True,24.08,35.21,4.63,16.63,9.67
Sudbourne Primary School,100584,Primary,Lambeth,SW2 5EF,51.458416,-0.119322,530757.0,174948.0,True,23.61,34.42,4.68,16.68,9.71
Sunnyhill Primary School,100585,Primary,Lambeth,SW16 2UW,51.429095,-0.120109,530786.0,171686.1,True,21.51,30.02,3.84,15.76,9.32
Telferscot Primary School,100586,Primary,Lambeth,SW12 0HW,51.442558,-0.137097,529567.0,173153.0,True,22.43,32.21,5.0,17.01,9.64
